real_isin,nominal_isin,beta,note,beta_1m,beta_3m
FR0013238268,FR0013286192,1.0,OATi 0.1% Mar 28 vs FRTR 0.750 May 28,-0.021,-0.512
FR0000186413,FR0000571218,1.0,OATi 3.4% Jul 29 vs FRTR 5.500 Apr 29,0.187,-0.535
FR0014003N51,FR0014002WK3,1.0,OATi 0.1% Mar 32 vs FRTR 0.000 Nov 31,0.462,-0.334
FR0013524014,FR0013154044,1.0,OATi 0.1% Mar 36 vs FRTR 1.250 May 36,0.612,-0.015
FR001400IKW5,FR0014009O62,1.0,OATi 0.55% Mar 39 vs FRTR 1.250 May 38,0.628,0.156
IT0004735152,IT0005370306,1.0,BTPei 3.1% Sep 26 vs BTPS 2.100 Jul 26,34.045,11.772
FR0011008705,FR0011317783,1.0,OATei 1.85% Jul 27 vs FRTR 2.750 Oct 27,-0.279,-0.968
ES00000128S2,ES0000012A89,1.0,SPGBei 0.65% Nov 27 vs SPGB 1.450 Oct 27,0.673,-0.555
IT0005246134,IT0004889033,1.0,BTPei 1.3% May 28 vs BTPS 4.750 Sep 28,0.419,-0.816
FR0013410552,FR0013407236,1.0,OATei 0.10% Mar 29 vs FRTR 0.500 May 29,0.099,-0.724
IT0005543803,IT0005495731,1.0,BTPei 1.5% May 29 vs BTPS 2.800 Jun 29,0.249,-0.531
IT0005387052,IT0005383309,1.0,BTPei 0.4% May 30 vs BTPS 1.350 Apr 30,0.118,-0.264
FR0011982776,FR0011883966,1.0,OATei 0.7% Jul 30 vs FRTR 2.500 May 30,0.236,-0.481
ES00000127C8,ES00000127A2,1.0,SPGBei 1.00% Nov 30 vs SPGB 1.950 Jul 30,-0.087,-0.549
FR0014001N38,FR0012993103,1.0,OATei 0.1% Jul 31 vs FRTR 1.500 May 31,0.253,-0.327
IT0005657348,IT0005595803,1.0,BTPei 1.1% Aug 31 vs BTPS 3.450 Jul 31,0.177,-0.063
FR0000188799,FR0000187635,1.0,OATei 3.15% Jul 32 vs FRTR 5.750 Oct 32,0.335,-0.272
IT0005138828,IT0005094088,1.0,BTPei 1.25% Sep 32 vs BTPS 1.650 Mar 32,0.229,0.104
IT0005482994,IT0005466013,1.0,BTPei 0.1% May 33 vs BTPS 0.950 Jun 32,0.323,0.22
ES0000012C12,ES00000128Q6,1.0,SPGBei 0.70% Nov 33 vs SPGB 2.350 Jul 33,0.116,-0.125
FR001400JI88,FR0013313582,1.0,OATei 0.6% Jul 34 vs FRTR 1.250 May 34,0.439,-0.013
IT0003745541,IT0003535157,1.0,BTPei 2.35% Sep 35 vs BTPS 5.000 Aug 34,0.339,0.27
IT0005588881,IT0005402117,1.0,BTPei 1.75% May 36 vs BTPS 1.450 Mar 36,0.424,0.265
FR0013327491,FR0013154044,1.0,OATei 0.1% Jul 36 vs FRTR 1.250 May 36,0.459,0.117
ES0000012O18,ES0000012E69,1.0,SPGBei 1.15% Nov 36 vs SPGB 1.850 Jul 35,0.285,-0.004
FR001400AQH0,FR0014009O62,1.0,OATei Green 0.1% Jul 38 vs FRTR 1.250 May 38,0.549,0.195
IT0005547812,IT0005496770,1.0,BTPei 2.40% May 39 vs BTPS 3.250 Mar 38,0.404,0.301
ES0000012M69,ES0000012L60,1.0,SPGBei 2.05% Nov 39 vs SPGB 3.900 Jul 39,0.322,0.108
FR0010447367,FR0010773192,1.0,OATei 1.8% Jul 40 vs FRTR 4.500 Apr 41,0.594,0.204
IT0004545890,IT0004532559,1.0,BTPei 2.55% Sep 41 vs BTPS 5.000 Sep 40,0.464,0.372
FR001400QCA1,FR001400CMX2,1.0,OATei 0.95% Jul 43 vs FRTR 2.500 May 43,0.595,0.317
IT0005706293,IT0005083057,1.0,BTPei 2.25% Feb 46 vs BTPS 3.250 Sep 46,0.513,
FR0013209871,FR0013257524,1.0,OATei 0.1% Jul 47 vs FRTR 2.000 May 48,0.618,0.562
IT0005436701,IT0005425233,1.0,BTPei 0.15% Sep 51 vs BTPS 1.700 Sep 51,0.564,0.478
FR0014008181,FR0014004J31,1.0,OATei 0.1% Jul 53 vs FRTR 0.750 May 53,0.635,0.639
IT0005647273,IT0005611741,1.0,BTPei 2.55% May 56 vs BTPS 4.300 Oct 54,0.597,0.454
GB00B128DH60,GB00BDRHNP05,1.0,UKTI 1.25 Nov 27 vs UKT 1.250 Jul 27,-2.67,-2.154
GB00BZ1NTB69,GB00BMF9LG83,1.0,UKTI 0.125 Aug 28 vs UKT 4.500 Jun 28,-1.709,-0.868
GB00B3Y1JG82,GB00BQC82B83,1.0,UKTI 0.125 Mar 29 vs UKT 4.125 Jul 29,-1.169,-0.486
GB00BNNGP551,GB0004893086,1.0,UKTI 0.125 Aug 31 vs UKT 4.250 Jun 32,-0.494,-0.058
GB00B3D4VD98,GB0004893086,1.0,UKTI 1.25 Nov 32 vs UKT 4.250 Jun 32,-0.384,0.039
GB00BMF9LJ15,GB0004893086,1.0,UKTI 0.75 Nov 33 vs UKT 4.250 Jun 32,-0.271,0.134
GB00B46CGH68,GB00BQC82C90,1.0,UKTI 0.75 Mar 34 vs UKT 4.250 Jul 34,-0.279,0.139
GB00BT7HZZ68,GB00BT7J0027,1.0,UKTI 1.125 Sep 35 vs UKT 4.500 Mar 35,-0.147,0.229
GB00BYZW3J87,GB00BZB26Y51,1.0,UKTI 0.125 Nov 36 vs UKT 1.750 Sep 37,-0.023,0.339
GB00B1L6W962,GB00BQC4R999,1.0,UKTI 1.125 Nov 37 vs UKT 3.750 Jan 38,-0.026,0.34
GB00BMY62Z61,GB00BQC4R999,1.0,UKTI 1.75 Sep 38 vs UKT 3.750 Jan 38,0.012,0.353
GB00BLH38265,GB00BQC4R999,1.0,UKTI 0.125 Mar 39 vs UKT 3.750 Jan 38,0.088,0.416
GB00B3LZBF68,GB00BQC4R999,1.0,UKTI 0.625 Mar 40 vs UKT 3.750 Jan 38,0.119,0.439
GB00BGDYHF49,GB00BJQWYH73,1.0,UKTI 0.125 Aug 41 vs UKT 1.250 Oct 41,0.206,0.521
GB00B3MYD345,GB00B1VWPJ53,1.0,UKTI 0.625 Nov 42 vs UKT 4.500 Dec 42,0.242,0.556
GB00B7RN0G65,GB00BPJJKP77,1.0,UKTI 0.125 Mar 44 vs UKT 4.750 Oct 43,0.29,0.615
GB00BMF9LH90,GB00BN65R313,1.0,UKTI 0.625 Mar 45 vs UKT 3.500 Jan 45,0.353,0.656
GB00BYMWG366,GB00BN65R313,1.0,UKTI 0.125 Mar 46 vs UKT 3.500 Jan 45,0.394,0.676
GB00B24FFM16,GB00BDCHBW80,1.0,UKTI 0.75 Nov 47 vs UKT 1.500 Jul 47,0.464,0.757
GB00BZ13DV40,GB00BLH38158,1.0,UKTI 0.125 Aug 48 vs UKT 1.250 Jul 51,0.515,0.796
GB00BT7J0134,GB00BLH38158,1.0,UKTI 1.875 Sep 49 vs UKT 1.250 Jul 51,0.538,0.797
GB00B421JZ66,GB00BLH38158,1.0,UKTI 0.5 Mar 50 vs UKT 1.250 Jul 51,0.561,0.785
GB00BNNGP882,GB00BLH38158,1.0,UKTI 0.125 Mar 51 vs UKT 1.250 Jul 51,0.555,0.81
GB00B73ZYW09,GB00B6RNH572,1.0,UKTI 0.25 Mar 52 vs UKT 3.750 Jul 52,0.54,0.792
GB00BPSNBG80,GB00BPSNBB36,1.0,UKTI 1.25 Nov 54 vs UKT 4.375 Jul 54,0.544,0.786
GB00B0CNHZ09,GB00B06YGN05,1.0,UKTI 1.25 Nov 55 vs UKT 4.250 Dec 55,0.556,0.792
GB00BYVP4K94,GB00BD0XH204,1.0,UKTI 0.125 Nov 56 vs UKT 1.750 Jul 57,0.759,0.885
GB00BP9DLZ64,GB00B54QLM75,1.0,UKTI 0.125 Mar 58 vs UKT 4.000 Jan 60,0.637,0.818
GB00B4PTCY75,GB00BMF9LF76,1.0,UKTI 0.375 Mar 62 vs UKT 4.000 Oct 63,0.668,0.796
GB00BD9MZZ71,GB00BYYMZX75,1.0,UKTI 0.125 Nov 65 vs UKT 2.500 Jul 65,0.758,0.826
GB00BDX8CX86,GB00BBJNQY21,1.0,UKTI 0.125 Mar 68 vs UKT 3.500 Jul 68,0.745,0.801
GB00BM8Z2W66,GB00BLBDX619,1.0,UKTI 0.125 Mar 73 vs UKT 1.125 Oct 73,0.958,0.874
